Comment,Designator,Footprint,LCSC part number ,Qty,MFR Part,Manufacturer
100n,"C201,C202,C204,C205,C206,C207,C208,C401,C405,C406,C407,C408",Capacitor_SMD:C_0805_2012Metric,C28233,12," CL21B104KCFNNNE,CL21B104KCFNNNE",Samsung Electro-Mechanics
1u,"C203,C209,C409,C602,C603,C604,C606,C607,C609,C610",Capacitor_SMD:C_0805_2012Metric,C28323,10,CL21B105KBFNNNE,Samsung Electro-Mechanics
1n,C210,Capacitor_SMD:C_0805_2012Metric,C46653,1,CL21B102KBCNNNC,Samsung Electro-Mechanics
10u,"C301,C410,C608",Capacitor_SMD:C_1206_3216Metric,C1849,3,CL31A106KOHNNNE ,Samsung Electro-Mechanics 
2.2u,C402,Capacitor_SMD:C_0805_2012Metric,C377773,1,CL21A225KBQNNNE,Samsung Electro-Mechanics
100n,"C403,C404",Capacitor_SMD:C_0805_2012Metric,C1711,2,CL21B104KBCNNNC,Samsung Electro-Mechanics
470u,"C601,C605",Capacitor_SMD:C_Elec_10x10.2,C3351,2,RVT1E471M1010,Honor Elec
1N4148W,"D501,D502",Diode_SMD:D_SOD-123,C81598,2,1N4148W,ST(Semtech)
MBRD1045,D601,Diode_SMD:D_SMA,C22452,1,C22452,MDD(Microdiode Semiconductor)
Red,D602,LED_SMD:LED_0805_2012Metric,C84256,1,NCD0805R1,Foshan NationStar Optoelectronics
Yellow,D603,LED_SMD:LED_0805_2012Metric,C2296,1,KT-0805Y,Hubei KENTO Elec
Green,D604,LED_SMD:LED_0805_2012Metric,C2297,1,KT-0805G,Hubei KENTO Elec
STM32blackpill,J102,Package_DIP:DIP-40_W15.24mm,C2332,1,ICSockets-40P,BOOMELE(Boom Precision Elec)
"BMP1,BMP2","J404,J406",Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,C144397,2,B6B-XH-A(LF)(SN),JST
SGP30,J401,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395,1,B4B-XH-A(LF)(SN),JST
USBC,J402,footprints:USB_C_16P,C47817612,1,TYPE-C-31-M-48,Korean Hroparts Elec
5V,J403,Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal,C5155559,1,DC-005H-D020,G-Switch
enc,J407,Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991,1,B5B-XH-A(LF)(SN),JST
OLED,J408,Connector_JST:JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical,C157966,1,B9B-XH-A(LF)(SN) ,JST
Micro_SD_Card,J412,footprints:microSD,C498185,1,TF-021B-H265,SOFNG
2.2uH,L401,"footprints:SMD,10.4x10.3mm",C10164 ,1,SXN(Shun Xiang Nuo Elec),SMDRH105R-2R2NT 
47u,L601,Inductor_THT:L_Toroid_Vertical_L16.0mm_W8.0mm_P7.62mm,C18213949,1,XR050125TS470MVL8,XR
IRLZ44N,Q301,Package_TO_SOT_THT:TO-220-3_Vertical,C38774,1,IRLZ44NPBF,Infineon Technologies
NPN,"Q501,Q502",Package_TO_SOT_SMD:SOT-23,C20526,2,MMBT3904(RANGE:100-300),"Jiangsu Changjing Electronics Technology Co., Ltd."
6.2k,"R201,R209",Resistor_SMD:R_0805_2012Metric,C17767,2,0805W8F6201T5E,UNI-ROYAL(Uniroyal Elec)
10k,"R202,R206,R208,R211,R216,R408,R409,R410,R411,R412,R606",Resistor_SMD:R_0805_2012Metric,C17414,11,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec)
3.9k,"R203,R207",Resistor_SMD:R_0805_2012Metric,C17614,2,0805W8F3901T5E,UNI-ROYAL(Uniroyal Elec)
4.7k,"R205,R212,R213,R215",Resistor_SMD:R_0805_2012Metric,C17673,4,0805W8F4701T5E,UNI-ROYAL(Uniroyal Elec)
