Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,100n,C_0805_2012Metric,98.135000,-86.355000,-90.000000,top
C202,100n,C_0805_2012Metric,119.797762,-81.239217,90.000000,top
C203,1u,C_0805_2012Metric,104.297762,-81.239217,-90.000000,top
C204,100n,C_0805_2012Metric,87.500000,-88.450000,-90.000000,top
C205,100n,C_0805_2012Metric,87.500000,-84.750000,-90.000000,top
C206,100n,C_0805_2012Metric,67.750000,-99.750000,-90.000000,top
C207,100n,C_0805_2012Metric,78.400000,-94.000000,90.000000,top
C208,100n,C_0805_2012Metric,119.797762,-93.239217,-90.000000,top
C209,1u,C_0805_2012Metric,104.297762,-93.239217,90.000000,top
C210,1n,C_0805_2012Metric,69.700000,-94.000000,-90.000000,top
C301,10u,C_1206_3216Metric,92.257747,-35.312747,180.000000,top
C401,100n,C_0805_2012Metric,160.800000,-43.000000,90.000000,top
C402,2.2u,C_0805_2012Metric,161.856319,-34.865093,180.000000,top
C403,100n,C_0805_2012Metric,161.856319,-32.865093,180.000000,top
C404,100n,C_0805_2012Metric,171.978813,-46.523171,0.000000,top
C405,100n,C_0805_2012Metric,134.378662,-97.742232,-90.000000,top
C406,100n,C_0805_2012Metric,130.378662,-97.742232,-90.000000,top
C407,100n,C_0805_2012Metric,126.378662,-97.742232,-90.000000,top
C408,100n,C_0805_2012Metric,179.224832,-63.318946,-90.000000,top
C409,1u,C_0805_2012Metric,182.724832,-63.318946,-90.000000,top
C410,10u,C_1206_3216Metric,172.528813,-48.773171,0.000000,top
C601,470u,C_Elec_10x10.2,61.055591,-38.027795,180.000000,top
C602,1u,C_0805_2012Metric,70.400000,-26.900000,180.000000,top
C603,1u,C_0805_2012Metric,77.700000,-29.100000,180.000000,top
C604,1u,C_0805_2012Metric,72.655000,-49.500000,0.000000,top
C605,470u,C_Elec_10x10.2,86.000000,-54.500000,-90.000000,top
C606,1u,C_0805_2012Metric,82.750000,-68.750000,-90.000000,top
C607,1u,C_0805_2012Metric,65.000000,-69.750000,-90.000000,top
C608,10u,C_1206_3216Metric,55.205000,-64.000000,-90.000000,top
C609,1u,C_0805_2012Metric,63.430000,-64.000000,90.000000,top
C610,1u,C_0805_2012Metric,69.505000,-64.000000,-90.000000,top
D501,1N4148W,D_SOD-123,127.000000,-60.850000,-90.000000,top
D502,1N4148W,D_SOD-123,127.000000,-43.850000,-90.000000,top
D601,MBRD1045,D_SMA,69.630000,-43.425000,90.000000,top
D602,Red,LED_0805_2012Metric,86.700000,-38.500000,-90.000000,top
D603,Yellow,LED_0805_2012Metric,56.067500,-72.500000,180.000000,top
D604,Green,LED_0805_2012Metric,60.112500,-72.500000,180.000000,top
FID401,Fiducial,Fiducial_1mm_Mask2mm,64.000000,-27.000000,0.000000,top
FID402,Fiducial,Fiducial_1mm_Mask2mm,182.000000,-28.000000,0.000000,top
FID403,Fiducial,Fiducial_1mm_Mask2mm,182.000000,-103.000000,0.000000,top
FID404,Fiducial,Fiducial_1mm_Mask2mm,64.000000,-103.000000,0.000000,top
J102,STM32blackpill,DIP-40_W15.24mm,141.160000,-45.885000,0.000000,top
J401,SGP30,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,118.379605,-103.638758,180.000000,top
J402,USBC,USB_C_16P,190.455000,-50.625000,90.000000,top
J403,5V,BarrelJack_GCT_DCJ200-10-A_Horizontal,183.025735,-38.854186,90.000000,top
